id,trip_distance,trip_time_in_secs,tip_amount,fare_amount,tip_perc,counter,pickup_zipcode,dropoff_zipcode
10002|10029,6.378484848,1006.969697,1.815151515,20.39393939,8.876738948,33,10002,10029
10002|10030,9.305714286,1236.142857,3.01,28.28571429,10.52332885,7,10002,10030
10002|10031,9.621428571,1438.357143,2.727857143,29.67857143,9.368991147,14,10002,10031
10002|10032,11.184,1686,1.3,34,4.0625,5,10002,10032
10002|10033,11.8325,1469.25,5.7125,34.625,16.40724638,4,10002,10033
10002|10034,13.78,1530,2,39.5,4.494382022,2,10002,10034
10002|10035,7.570625,1023.1875,2.2625,22.90625,9.852347436,16,10002,10035
10002|10036,3.588963415,1173.469512,1.760182927,15.79573171,11.46230826,164,10002,10036
10002|10037,8.544285714,1111.714286,2.171428571,25.71428571,8.278094776,7,10002,10037
10002|10038,1.6784,549.984,1.09368,8.476,13.37641022,125,10002,10038
10002|10039,9.9,1576,4,30.5,13.1147541,1,10002,10039
10002|10040,11.66333333,1306.333333,1.5,33.83333333,4.347826087,3,10002,10040
10002|10044,6.346666667,1430.666667,1.333333333,22.5,8.039046799,3,10002,10044
10002|10065,3.851445783,826.1325301,1.705060241,14.34939759,12.19885642,83,10002,10065
10002|10075,4.86125,978.9375,1.9290625,17.046875,11.10754016,32,10002,10075
10002|10128,5.602857143,927.7428571,2.174,18.19285714,11.79083248,70,10002,10128
10002|10280,3.16,918.9090909,1.355227273,13.17045455,9.875310544,44,10002,10280
10002|10302,19,2768,0,54.5,0,1,10002,10302
10002|10451,8.3,1145,0,26,0,1,10002,10451
10002|10452,10.585,1260,0,30.5,0,2,10002,10452
10002|10454,8.96,1560,7.75,30.5,25.40983607,1,10002,10454
10002|10455,9.03,1170,2.75,27.25,10.18518519,2,10002,10455
10002|10457,13.1,1737,0,38,0,1,10002,10457
10002|10458,16.25,2372.5,0,48.75,0,2,10002,10458
10002|10459,11.7,1226,0,33.5,0,1,10002,10459
10002|10460,13.15,1407,1.5,37.25,4.347826087,2,10002,10460
10002|10461,14.7,1440,12.6,41,30.73170732,1,10002,10461
10002|10462,14.068,1664.4,7.6,39.9,18.33246753,5,10002,10462
10002|10463,14.385,1909.5,4.6,41.75,10.10989011,2,10002,10463
10002|10465,14.42,1860,8,41,19.51219512,1,10002,10465
10002|10467,18.25,2014,6.65,51,14.31195423,2,10002,10467
10002|10472,12.4,2335,0,40,0,1,10002,10472
10002|10473,12.38,1320,0,34.5,0,1,10002,10473
10002|10475,17.86,1680,0,47.5,0,1,10002,10475
10002|11201,3.112905983,913.6923077,1.713333333,13.48717949,12.13033935,117,10002,11201
10002|11203,6.72,1590,1,23.5,4,2,10002,11203
10002|11204,4.825,1650,2.95,28.25,10.17241379,2,10002,11204
10002|11205,3.301290323,821.1935484,1.715645161,13.37096774,12.23401474,62,10002,11205
10002|11206,3.152330097,691.3883495,1.610097087,12.38349515,12.88313388,103,10002,11206
10002|11207,5.2225,1169.5,2.025,19.125,10.01221805,4,10002,11207
10002|11208,26.98,2700,14.9,74,20.13513514,1,10002,11208
10002|11209,10.40909091,1759.454545,5.524545455,32.68181818,16.74497815,11,10002,11209
10002|11210,6.92,1620,5,24.5,20.40816327,1,10002,11210
10002|11211,2.595689223,549.566416,1.243433584,10.55889724,11.86322523,399,10002,11211
10002|11212,9.4,2319.5,2.55,33,10.40816327,2,10002,11212
10002|11213,5.2225,1193.25,3.1375,18.625,16.5625,4,10002,11213
10002|11214,18.035,3390,0,57.25,0,2,10002,11214
10002|11215,4.800212766,1174.425532,3.044255319,18.37234043,15.94597769,47,10002,11215
10002|11216,4.497755102,1090.734694,2.014693878,16.8877551,11.38179746,49,10002,11216
10002|11217,3.3872,855.22,1.6914,13.57,12.66413894,50,10002,11217
10002|11218,7.939375,1375.75,3.065625,25.6875,12.71331032,16,10002,11218
10002|11220,8.536666667,1378.111111,2.318888889,27.27777778,9.772348199,9,10002,11220
10002|11221,4.403,1076.85,1.44325,16.7625,8.718822939,40,10002,11221
10002|11222,3.64504065,675.9105691,1.644065041,13.58943089,12.52690083,123,10002,11222
10002|11223,11.32,1829,3.3,35,10.31527094,4,10002,11223
10002|11225,5.864761905,1242.095238,2.423809524,19.9047619,11.63586197,21,10002,11225
10002|11226,7.801,1471.9,2.353,26.05,9.036541068,10,10002,11226
10002|11228,10.785,2400,7.925,38.5,22.55028736,2,10002,11228
10002|11229,13.55,2111,6.7,40.75,16.41674195,2,10002,11229
10002|11230,11,1350,8.12,31.5,25.77777778,1,10002,11230
10002|11231,4.36425,1200.45,2.31975,16.5125,13.60701697,40,10002,11231
10002|11232,6.089090909,1235.090909,3.018181818,19.68181818,14.77941813,11,10002,11232
10002|11233,5.205555556,1288.111111,0.7,19.22222222,3.965783966,9,10002,11233
10002|11234,21.3,2766,3,62.5,4.8,1,10002,11234
10002|11235,16.12,2220,9.8,48.5,20.20618557,1,10002,11235
10002|11236,10.39333333,2101.333333,3.873333333,34.16666667,11.39401584,3,10002,11236
10002|11237,4.70137931,1017.241379,1.842068966,17.01724138,10.43599799,29,10002,11237
10002|11238,4.120357143,1019.482143,1.975357143,15.77678571,12.38797375,56,10002,11238
10003|10001,1.632035024,664.1322464,1.048538647,9.167270531,11.59173376,1656,10003,10001
10003|10002,1.362627219,497.1372781,0.859502959,7.615976331,11.22042841,845,10003,10002
10003|10003,0.778942065,293.2267003,0.651542821,5.473866499,inf,1588,10003,10003
10003|10004,3.322539683,828.6349206,1.360634921,13.34126984,9.993917068,126,10003,10004
10003|10005,2.578,785.4642857,1.463142857,11.58928571,12.65556834,140,10003,10005
10003|10006,2.933013699,869.2054795,1.717671233,12.69863014,13.52535656,73,10003,10006
10003|10007,2.360714286,742.9380952,1.46597619,10.97619048,13.49281961,420,10003,10007
10003|10009,0.942463235,358.5171569,0.701507353,6.113357843,11.62285875,816,10003,10009
