Zip Code,Tip Percentage,count,Population Density (per sq. mile),Median household income,Gini Index Of Income Inequality,Average Commute to Work (in min),Male Rate,White Rate,Higher Education Rate,Unemployment Rate,Renter Occupied Rate,Public Transportation Rate
10065,19.84600935081143,2150053,84897.65,115519.0,0.5694,24.0,0.4324785803579596,0.8633716498460225,0.6580175016007561,0.05119002644503212,0.6936251189343482,0.4460105713566575
10128,19.977349635106357,2012361,127735.4,96296.0,0.5626,33.0,0.4278704612365064,0.8255351707390096,0.6129472231000815,0.05807407407407408,0.7028553198277238,0.685527809307605
10308,21.155127617825478,401,14666.18,88075.0,0.40299999999999997,44.0,0.4790766785307025,0.9561836967414216,0.19824458343412005,0.0714766909188898,0.1637236084452975,0.17255513477389173
10452,15.782633990342967,14864,76101.62,25979.0,0.4575,40.0,0.468898052875312,0.15316758084104046,0.06392547810652467,0.16685370031303526,0.967936520788632,0.5708786874901404
10461,17.621230869048663,13397,21557.02,52347.0,0.4351,38.0,0.4876667311038082,0.5060699787357433,0.17898704813454475,0.12565700555638984,0.6710294878427315,0.3118222110457989
10470,18.24419831917503,3866,10423.26,58600.0,0.3856,42.0,0.4985185185185185,0.4705050505050505,0.19272727272727272,0.1261969064571569,0.6304085502499569,0.3230184023851136
11208,16.5471146286684,5215,26939.11,35079.0,0.5083,42.0,0.4652711396565242,0.33025443844179275,0.059147002910629715,0.12095431366427307,0.7492963619305744,0.5809851314910567
11217,20.604040667361623,318215,51667.01,81862.0,0.5088,35.0,0.4708020728594632,0.5483796117255781,0.4740763657926625,0.08527787853141497,0.7105105823269162,0.7261926438455936
11226,19.11669039324148,59121,76257.16,40734.0,0.4668,45.0,0.4516552250190694,0.09560132214594458,0.1449682176455632,0.13258293612052302,0.8720992377148322,0.6509815645241654
11235,17.141806190436316,12870,33232.58,41639.0,0.5204,44.0,0.4648934744740721,0.8125552726785475,0.31925499129036583,0.08139434553769162,0.6014143563426998,0.3805860446883575
10003,20.35696236677473,4498079,99418.49,92540.0,0.5483,26.0,0.4788344093526435,0.7759553306578258,0.5625719769673705,0.06751284211670698,0.6961279767315034,0.6212931453573165
10012,19.874262502046946,2548389,80873.23,86594.0,0.5297,24.0,0.5236565308854465,0.7531459170013387,0.5946452476572959,0.05115301664546812,0.8251066422912858,0.5717357543901564
10021,19.99799653705389,2914545,105558.0,107907.0,0.589,28.0,0.4287846899319661,0.8850031814399687,0.6645783368410748,0.04599094730035564,0.6055663430420712,0.5506589262256876
10030,17.483527897692998,84303,102070.2,31925.0,0.557,39.0,0.4765734756954201,0.15106069120539478,0.19650885080078676,0.14853744554318513,0.8749784296807592,0.7094493428714024
10039,16.841676303031626,42010,57392.18,33595.0,0.4971,37.0,0.4671332355043835,0.1408360612559732,0.1666102268879106,0.2252628324056896,0.8647666411629686,0.6532672711975319
10075,20.05183528792129,1100614,134653.3,102941.0,0.564,31.0,0.41369874039196747,0.8849048251438689,0.6727836130226569,0.05737337516808606,0.543210775391336,0.6388850653819683
10309,21.29605278608024,441,4858.739000000001,86297.0,0.4058,43.0,0.5045947436133064,0.9150585064020096,0.2097347301353918,0.05291281115600156,0.2058386017106731,0.13868255652599787
10453,14.749080917726063,9725,87110.88,25470.0,0.4687,41.0,0.471958693118444,0.11391976739814268,0.07112152695098567,0.20797422261808085,0.9574227286918514,0.5542233841161093
10462,16.36801386759416,14985,52277.64,45864.0,0.4246,44.0,0.4673189520350528,0.2305574584135765,0.15895255205573292,0.12025773195876288,0.7870831603708316,0.5204833836858006
10471,20.145020598592613,24599,8532.369,71798.0,0.5008,41.0,0.473536087153881,0.7256014525646846,0.3836586472991376,0.08038525652898684,0.5042316258351893,0.2805529145030352
